Angle	Frequency	m	p
64	224	1.57648872526	0.0147032451947
72	224	1.41783933347	-0.00189277072888
80	224	1.27934992266	-0.00830797522513
96	224	1.04532341244	0.0185918610075
112	224	0.902832857828	-0.00424495238997
128	224	0.794565255929	-0.00146406859666
144	224	0.694073369564	-0.00257260026634
160	224	0.617013271288	0.00221218536959
180	224	0.539733654046	0.0160578851811

0.5	256	9.98281783303	0.000625746459834
1	256	9.9401807259	-0.00290438005572
2	256	9.76554413356	-0.00620416387758
4	256	9.09755658475	-0.0108156959715
8	256	7.33118832573	-0.0974294103134
16	256	4.71411555126	0.107693462926
24	256	3.4628743885	0.04024113601
32	256	2.6817203113	0.0576296625806
40	256	2.24238505382	-0.0367256358806
48	256	1.85049453757	0.0532826086347
56	256	1.5881359322	0.0310105652062
64	256	1.4278590565	0.0158403646889
72	256	1.27778455693	0.0104618853025
80	256	1.14725934179	-0.0152012340785
96	256	0.953930749839	0.0109395006802
112	256	0.835188680983	-0.0337982700234
128	256	0.708409899613	-0.0029207021586
144	256	0.613835332556	0.00729554727894
160	256	0.551320645148	0.00328753624691
180	256	0.494432660621	-0.00940127327317

0.5	320	9.98238641938	-9.94162838724e-05
1	320	9.93706545236	-0.00194370952102
2	320	9.75964124146	-0.00277921074272
4	320	9.09162279829	0.0288316646713
8	320	7.36579370403	0.0221376489725
16	320	4.78421362828	-0.0212743828395
24	320	3.46357937316	0.0232803321574
32	320	2.70397287531	0.0438838441299
40	320	2.16860783824	0.0731417182879
48	320	1.90686720693	-0.0263139120341
56	320	1.60298142104	0.00999397117383
64	320	1.44924294592	-0.00809323289442
72	320	1.25901813276	0.00600132037719
80	320	1.14668978465	-0.00486853677893
96	320	0.958916797596	-0.00454356541403
112	320	0.799128557114	0.00460223829759
128	320	0.702235311524	-0.00330833173451
144	320	0.623950125878	-0.00834219054047
160	320	0.558696634214	-0.00466873120873
180	320	0.493103224091	0.00418479298186

0.5	384	9.97766937124	-4.77264345134e-05
1	384	9.91952143095	-0.000811172659328
2	384	9.67923841725	0.0108929550331
4	384	8.83373617792	0.00954949303461
8	384	6.85683376876	-0.0375456438677
16	384	4.20876212544	0.0556457548128
24	384	2.9960400484	0.105805671011
32	384	2.41791780854	-0.029522847303
40	384	1.96630147973	-0.0149924094733
48	384	1.62544350139	0.0273243936017
56	384	1.39257361579	0.0398157923908
